StudentID,MathScore,ReadingScore,WritingScore,Absences
4256,83.2632273533792,82.29349267360656,81.89850384257372,18
8512,23.88242106089229,35.752738232875735,1.3370862040427145,11
9429,63.41793526924536,17.187991113660207,0.8719210407858946,2
8463,95.64569574043756,49.22445771204155,77.68999249212531,13
7442,57.4710979927708,46.8502330343635,98.48605807310888,16
5832,79.94670126871763,72.54025829860626,46.520635954693454,2
3576,73.54307446002744,97.31848541436628,43.312976481572264,6
3071,86.57210309006429,53.12821954862166,27.582452514738996,16
9523,96.87641793982468,73.17192885606828,66.6633740848792,14
4129,2.2316557055525266,35.05796542554439,47.16494112730598,19
5284,2.786977137567026,59.95747430440927,16.75187086517571,9
4535,59.44222989367478,11.532793216511983,48.13746526827815,6
7365,95.42453506031936,81.49340834654139,37.63710117538853,19
1352,48.56830726463455,34.43242291345576,88.98059131367225,2
4122,83.97795639430137,8.004134754132785,77.15866101130266,14
6207,76.79077531189931,99.05613827449942,70.12474424023732,19
3031,49.82522739858267,90.17882289711613,32.71602231517689,4
3926,51.31723276722193,19.74333456756877,13.961538196233825,1
6825,43.60334125974828,36.320185028235585,86.4678984161065,8
5044,25.219872502861506,93.67176965476266,34.274738645941405,17
8881,85.87122684503628,79.63287278252187,59.29565922325104,12
8591,20.957013773584222,90.64122207752715,59.08255679175022,19
5620,90.69205500175597,56.254977844339685,92.8053081640376,6
2170,35.9727609608504,24.311622047009806,17.172363361249545,3
6640,2.6497306484130845,22.705352733774987,77.16454627818604,7
5917,16.837802741678598,52.56701852375409,46.25905775419754,5
6245,88.7824764334916,92.39999711373635,17.475201158749254,3
8306,12.844454218474354,63.15869827026801,83.56386072970086,4
6801,73.87736706799569,3.4390528791711783,82.01391059383006,19
7745,18.281370887613914,56.04757280002245,4.018240984630328,19
9263,49.89328963666129,60.84408786212615,70.9440017558666,8
3292,20.52070107187398,58.15550327972888,15.351988616964196,7
5674,33.31654377683729,69.1076173726618,61.03603497898739,1
1193,12.48222244011986,29.351383994769954,64.3802631410877,6
9921,55.60022761223251,14.376530863868364,66.52445504338759,17
9227,36.58252100515266,75.00486289479548,12.009686244645456,9
6197,36.548420087558085,19.635308793860627,59.83159089025646,2
8188,3.8574164826155055,11.415896041898266,9.986321146181687,16
9436,13.6128389138932,35.93771876641628,74.55541871613904,1
4466,70.753048562558,83.27541170164841,6.37446325955644,2
6212,29.23202796484642,8.210830791485845,75.78110344339957,4
9120,44.206915089160184,19.556135874150083,88.3492404085875,12
6945,76.30678613498885,47.52593782527279,29.854164244689805,12
6495,44.4757438633429,28.764697127134287,77.82919848005689,5
7319,22.56090314510302,72.16610089254542,41.752120931257195,13
2781,54.98242431331983,67.49024267332824,79.77136067992836,4
1615,80.12060060520982,84.25163630064478,68.62523696636224,0
5163,59.96418835390085,20.384317524916497,28.914051230530845,8
6274,42.01812489402585,64.8918754506992,19.373365886314208,2
9645,12.56245174188667,77.47345009319356,91.47421361315139,5
2531,24.87131748310877,6.2667122778877875,83.8979170630755,3
5561,94.61188777719171,3.68229426693939,65.99020183560927,1
7571,77.18080474840895,55.92583380607808,34.93716181960497,15
2775,8.757188763120716,58.78547680661931,51.045938349249845,5
8136,0.5514605908759407,39.28087597059088,55.786413089037254,13
4706,17.541934124071844,3.6073314096250586,8.606995113207871,9
6155,94.38907382853255,40.19218203579216,97.22338657559274,3
8405,58.003891771515384,64.2088541141218,9.1819209046606,6
6346,83.86597542491498,70.18804190664878,72.1683659197782,16
1082,46.52250129976818,49.27914739429454,49.28016559336456,4
7794,82.66361526943064,52.50249774256949,75.98787302994683,13
5936,3.3916417758116935,67.2674275892557,26.093031601129358,15
2107,42.68194470136291,44.930238194182046,39.511035566194884,7
